memory.used [MiB]
502 MiB
1813 MiB
502 MiB
1807 MiB
502 MiB
1803 MiB
502 MiB
1783 MiB
502 MiB
1782 MiB
502 MiB
1791 MiB
502 MiB
1816 MiB
502 MiB
1819 MiB
502 MiB
1819 MiB
502 MiB
1839 MiB
502 MiB
1842 MiB
502 MiB
1875 MiB
502 MiB
1855 MiB
1238 MiB
1841 MiB
1238 MiB
1826 MiB
1238 MiB
1805 MiB
1238 MiB
1792 MiB
1238 MiB
1790 MiB
1238 MiB
1790 MiB
1334 MiB
1782 MiB
1462 MiB
1778 MiB
1526 MiB
1778 MiB
1654 MiB
1778 MiB
1814 MiB
1778 MiB
1910 MiB
1778 MiB
2038 MiB
1778 MiB
2166 MiB
1779 MiB
2262 MiB
1779 MiB
2390 MiB
1778 MiB
2486 MiB
1778 MiB
2646 MiB
1778 MiB
2774 MiB
1777 MiB
2902 MiB
1777 MiB
3062 MiB
1800 MiB
3158 MiB
1800 MiB
3318 MiB
1798 MiB
3446 MiB
1798 MiB
3574 MiB
1798 MiB
3734 MiB
1786 MiB
3830 MiB
1786 MiB
3990 MiB
1787 MiB
4118 MiB
1787 MiB
4214 MiB
1787 MiB
4342 MiB
1787 MiB
4470 MiB
1787 MiB
4598 MiB
1809 MiB
4694 MiB
1809 MiB
4822 MiB
1807 MiB
4918 MiB
1807 MiB
5014 MiB
1807 MiB
5142 MiB
1791 MiB
5270 MiB
1791 MiB
5430 MiB
1790 MiB
5586 MiB
1800 MiB
6044 MiB
1819 MiB
6044 MiB
1803 MiB
6044 MiB
1796 MiB
6236 MiB
1796 MiB
6428 MiB
1790 MiB
6524 MiB
1801 MiB
6716 MiB
1801 MiB
6812 MiB
1805 MiB
7004 MiB
1801 MiB
7196 MiB
1801 MiB
7292 MiB
1792 MiB
7484 MiB
1792 MiB
7676 MiB
1792 MiB
7868 MiB
1792 MiB
7964 MiB
1802 MiB
8156 MiB
1802 MiB
8348 MiB
1802 MiB
8540 MiB
1802 MiB
8636 MiB
1802 MiB
8828 MiB
1816 MiB
8924 MiB
1802 MiB
9116 MiB
1816 MiB
9212 MiB
1816 MiB
9404 MiB
1816 MiB
9596 MiB
1816 MiB
9692 MiB
1816 MiB
9884 MiB
1816 MiB
10076 MiB
1816 MiB
10268 MiB
1816 MiB
10364 MiB
1817 MiB
10556 MiB
1817 MiB
10748 MiB
1817 MiB
10844 MiB
1817 MiB
11036 MiB
1817 MiB
11228 MiB
1816 MiB
11420 MiB
1816 MiB
11612 MiB
1816 MiB
11804 MiB
1816 MiB
11900 MiB
1816 MiB
12092 MiB
1816 MiB
12284 MiB
1816 MiB
12476 MiB
1816 MiB
12668 MiB
1816 MiB
12860 MiB
1816 MiB
13052 MiB
1817 MiB
13148 MiB
1817 MiB
13340 MiB
1816 MiB
13532 MiB
1815 MiB
13724 MiB
1815 MiB
13820 MiB
1815 MiB
14012 MiB
1815 MiB
14204 MiB
1815 MiB
14364 MiB
1815 MiB
14524 MiB
1815 MiB
14684 MiB
1815 MiB
14844 MiB
1815 MiB
15004 MiB
1815 MiB
15164 MiB
1815 MiB
15356 MiB
1815 MiB
15516 MiB
1815 MiB
15708 MiB
1815 MiB
15868 MiB
1815 MiB
16060 MiB
1815 MiB
16220 MiB
1815 MiB
16380 MiB
1815 MiB
16540 MiB
1815 MiB
16668 MiB
1815 MiB
16860 MiB
1815 MiB
17020 MiB
1815 MiB
17180 MiB
1815 MiB
17308 MiB
1815 MiB
17468 MiB
1815 MiB
17628 MiB
1815 MiB
17788 MiB
1815 MiB
17980 MiB
1815 MiB
18108 MiB
1816 MiB
19196 MiB
1832 MiB
19198 MiB
1834 MiB
19198 MiB
1833 MiB
19198 MiB
1833 MiB
19198 MiB
1833 MiB
